date,hour,type,北京,天津,石家庄,唐山,秦皇岛,邯郸,保定,张家口,承德,廊坊,沧州,衡水,邢台
2015-01-02,23.0,O3_24h,,,,,,,,,,,,,
2015-01-02,23.0,NO2_24h,,,,,,,,,,,,,
2015-01-02,23.0,SO2_24h,,,,,,,,,,,,,
2015-01-02,23.0,PM2.5_24h,,,,,,,,,,,,,
2015-01-02,23.0,AQI,,,,,,,,,,,,,
2015-01-02,23.0,O3_24h,50.0,52.0,57.0,61.0,60.0,45.0,67.0,64.0,76.0,44.0,60.0,66.0,46.0
2015-01-02,23.0,NO2_24h,63.0,57.0,76.0,63.0,47.0,67.0,62.0,26.0,42.0,33.0,58.0,68.0,61.0
2015-01-02,23.0,SO2_24h,32.0,65.0,121.0,52.0,53.0,176.0,157.0,76.0,37.0,37.0,99.0,70.0,152.0
2015-01-02,23.0,PM2.5_24h,51.0,65.0,141.0,61.0,42.0,140.0,181.0,33.0,35.0,57.0,71.0,108.0,142.0
2015-01-02,23.0,AQI,149.0,69.0,236.0,84.0,84.0,215.0,285.0,99.0,76.0,161.0,138.0,99.0,246.0
2015-01-03,23.0,O3_24h,,,,,,,,,,,,,
2015-01-03,23.0,NO2_24h,,,,,,,,,,,,,
2015-01-03,23.0,SO2_24h,,,,,,,,,,,,,
2015-01-03,23.0,PM2.5_24h,,,,,,,,,,,,,
2015-01-03,23.0,AQI,,,,,,,,,,,,,
2015-01-03,23.0,O3_24h,23.0,22.0,13.0,17.0,16.0,31.0,53.0,45.0,37.0,11.0,39.0,43.0,17.0
2015-01-03,23.0,NO2_24h,104.0,91.0,116.0,90.0,97.0,66.0,93.0,52.0,63.0,65.0,79.0,91.0,116.0
2015-01-03,23.0,SO2_24h,69.0,137.0,190.0,107.0,186.0,124.0,201.0,141.0,76.0,89.0,145.0,102.0,262.0
2015-01-03,23.0,PM2.5_24h,150.0,173.0,251.0,135.0,136.0,155.0,306.0,70.0,70.0,158.0,133.0,164.0,283.0
2015-01-03,23.0,AQI,258.0,400.0,500.0,284.0,237.0,230.0,500.0,113.0,170.0,264.0,322.0,384.0,500.0
2015-01-04,23.0,O3_24h,,,,,,,,,,,,,
2015-01-04,23.0,NO2_24h,,,,,,,,,,,,,
2015-01-04,23.0,SO2_24h,,,,,,,,,,,,,
2015-01-04,23.0,PM2.5_24h,,,,,,,,,,,,,
2015-01-04,23.0,AQI,,,,,,,,,,,,,
2015-01-04,23.0,O3_24h,30.0,13.0,7.0,33.0,39.0,22.0,35.0,47.0,29.0,18.0,26.0,54.0,12.0
2015-01-04,23.0,NO2_24h,124.0,163.0,162.0,112.0,85.0,129.0,135.0,52.0,76.0,96.0,126.0,109.0,137.0
2015-01-04,23.0,SO2_24h,76.0,172.0,251.0,163.0,133.0,249.0,235.0,107.0,100.0,76.0,198.0,126.0,258.0
2015-01-04,23.0,PM2.5_24h,176.0,329.0,421.0,210.0,98.0,358.0,497.0,71.0,118.0,246.0,264.0,305.0,409.0
2015-01-04,23.0,AQI,279.0,311.0,449.0,150.0,113.0,445.0,500.0,196.0,151.0,313.0,334.0,369.0,500.0
2015-01-05,23.0,O3_24h,,,,,,,,,,,,,
2015-01-05,23.0,NO2_24h,,,,,,,,,,,,,
2015-01-05,23.0,SO2_24h,,,,,,,,,,,,,
2015-01-05,23.0,PM2.5_24h,,,,,,,,,,,,,
2015-01-05,23.0,AQI,,,,,,,,,,,,,
2015-01-05,23.0,O3_24h,71.0,49.0,36.0,63.0,35.0,15.0,51.0,68.0,86.0,43.0,39.0,59.0,23.0
2015-01-05,23.0,NO2_24h,68.0,71.0,151.0,66.0,83.0,107.0,114.0,23.0,42.0,38.0,97.0,129.0,158.0
2015-01-05,23.0,SO2_24h,55.0,78.0,179.0,141.0,116.0,141.0,152.0,53.0,55.0,36.0,94.0,123.0,233.0
2015-01-05,23.0,PM2.5_24h,100.0,119.0,299.0,112.0,91.0,340.0,264.0,47.0,63.0,95.0,187.0,361.0,413.0
2015-01-05,23.0,AQI,20.0,42.0,58.0,63.0,71.0,156.0,103.0,22.0,50.0,43.0,59.0,167.0,231.0
2015-01-06,23.0,O3_24h,,,,,,,,,,,,,
2015-01-06,23.0,NO2_24h,,,,,,,,,,,,,
2015-01-06,23.0,SO2_24h,,,,,,,,,,,,,
2015-01-06,23.0,PM2.5_24h,,,,,,,,,,,,,
2015-01-06,23.0,AQI,,,,,,,,,,,,,
2015-01-06,23.0,O3_24h,64.0,56.0,129.0,72.0,43.0,52.0,62.0,81.0,82.0,43.0,62.0,62.0,40.0
2015-01-06,23.0,NO2_24h,42.0,39.0,56.0,42.0,46.0,26.0,42.0,18.0,35.0,24.0,42.0,39.0,56.0
2015-01-06,23.0,SO2_24h,23.0,40.0,83.0,37.0,79.0,17.0,87.0,53.0,25.0,20.0,55.0,40.0,70.0
2015-01-06,23.0,PM2.5_24h,36.0,28.0,53.0,35.0,40.0,35.0,65.0,25.0,22.0,28.0,31.0,36.0,63.0
2015-01-06,23.0,AQI,143.0,103.0,93.0,116.0,102.0,65.0,186.0,47.0,59.0,109.0,69.0,95.0,103.0
2015-01-07,23.0,O3_24h,,,,,,,,,,,,,
2015-01-07,23.0,NO2_24h,,,,,,,,,,,,,
2015-01-07,23.0,SO2_24h,,,,,,,,,,,,,
2015-01-07,23.0,PM2.5_24h,,,,,,,,,,,,,
2015-01-07,23.0,AQI,,,,,,,,,,,,,
2015-01-07,23.0,O3_24h,40.0,36.0,20.0,49.0,42.0,51.0,38.0,56.0,58.0,25.0,29.0,64.0,27.0
2015-01-07,23.0,NO2_24h,67.0,63.0,98.0,67.0,50.0,44.0,80.0,20.0,49.0,45.0,77.0,69.0,75.0
2015-01-07,23.0,SO2_24h,39.0,88.0,183.0,109.0,71.0,59.0,156.0,63.0,46.0,53.0,117.0,99.0,185.0
2015-01-07,23.0,PM2.5_24h,64.0,72.0,145.0,84.0,34.0,82.0,179.0,34.0,37.0,93.0,95.0,86.0,131.0
2015-01-07,23.0,AQI,119.0,56.0,228.0,68.0,93.0,191.0,341.0,89.0,95.0,70.0,191.0,123.0,249.0
2015-01-08,23.0,O3_24h,,,,,,,,,,,,,
2015-01-08,23.0,NO2_24h,,,,,,,,,,,,,
2015-01-08,23.0,SO2_24h,,,,,,,,,,,,,
2015-01-08,23.0,PM2.5_24h,,,,,,,,,,,,,
2015-01-08,23.0,AQI,,,,,,,,,,,,,
2015-01-08,23.0,O3_24h,17.0,28.0,12.0,30.0,17.0,16.0,23.0,69.0,31.0,16.0,39.0,36.0,14.0
2015-01-08,23.0,NO2_24h,98.0,100.0,123.0,95.0,74.0,97.0,124.0,19.0,63.0,62.0,81.0,98.0,122.0
2015-01-08,23.0,SO2_24h,52.0,119.0,217.0,118.0,113.0,113.0,210.0,54.0,80.0,48.0,147.0,153.0,268.0
2015-01-08,23.0,PM2.5_24h,137.0,131.0,171.0,122.0,84.0,182.0,336.0,39.0,66.0,136.0,122.0,171.0,260.0
2015-01-08,23.0,AQI,285.0,311.0,303.0,289.0,87.0,266.0,500.0,58.0,131.0,335.0,236.0,395.0,407.0
2015-01-09,23.0,O3_24h,,,,,,,,,,,,,
2015-01-09,23.0,NO2_24h,,,,,,,,,,,,,
2015-01-09,23.0,SO2_24h,,,,,,,,,,,,,
2015-01-09,23.0,PM2.5_24h,,,,,,,,,,,,,
2015-01-09,23.0,AQI,,,,,,,,,,,,,
2015-01-09,23.0,O3_24h,65.0,56.0,48.0,65.0,41.0,34.0,51.0,60.0,71.0,43.0,55.0,60.0,31.0
2015-01-09,23.0,NO2_24h,67.0,89.0,130.0,93.0,74.0,134.0,124.0,20.0,40.0,47.0,83.0,93.0,135.0
2015-01-09,23.0,SO2_24h,34.0,90.0,187.0,84.0,88.0,131.0,242.0,61.0,31.0,39.0,129.0,123.0,234.0
2015-01-09,23.0,PM2.5_24h,79.0,133.0,219.0,129.0,102.0,234.0,417.0,31.0,37.0,105.0,140.0,215.0,260.0
2015-01-09,23.0,AQI,284.0,104.0,257.0,86.0,99.0,365.0,312.0,65.0,79.0,202.0,203.0,177.0,373.0
2015-01-10,23.0,O3_24h,,,,,,,,,,,,,
2015-01-10,23.0,NO2_24h,,,,,,,,,,,,,
2015-01-10,23.0,SO2_24h,,,,,,,,,,,,,
2015-01-10,23.0,PM2.5_24h,,,,,,,,,,,,,
